6,5,0.01,10000,9999,2862201,1,9840,1836189,23,3546600
8,4,0.1,100000,49999,648590,1,648,46973,23,3269213
4,4,0.1,100000,16666,659748,1,648,46973,23,3269213
1,0,0.01,100000,12499,661384,0,2760,136081,23,32127
5,6,0.2,100000,16666,630149,1,168,52,22,3023632
7,7,0.05,100000,49999,861453,0,1752,865530,23,3358873
4,4,0.01,10000,2499,2972040,1,10752,1902000,23,3545345
3,4,0.2,10000,2499,625537,0,144,58,22,2865683
8,6,0.01,100000,12499,1665829,0,4992,1118675,23,3396854
7,4,0.05,1000000,166666,757414,0,960,520169,23,3493284
2,0,0.01,100000,12499,660674,1,2760,136081,23,32127
2,3,0.2,10000,9999,900377,1,1080,2152038,23,3577295
0,6,0.1,10000,1249,640551,1,216,20351,23,2591995
7,7,0.2,1000000,124999,635509,0,144,6642,23,2938482
0,0,0.05,1000000,124999,700398,0,408,1241820,23,252671
2,4,0.05,1000000,499999,763295,0,960,520169,23,3577295
1,5,0.05,1000000,499999,744082,1,840,458984,23,3450360
2,5,0.05,1000000,999999,742823,1,840,458984,23,3577295
9,3,0.01,1000000,499999,7085029,1,19272,3504348,23,3577295
4,5,0.1,100000,12499,634474,1,240,16402,23,3268954
5,6,0.2,1000000,249999,632731,0,168,33,21,3189091
8,4,0.2,100000,16666,621721,0,144,52,22,2866617
6,6,0.05,10000,1249,704413,1,1344,295231,23,2478007
8,6,0.2,1000000,999999,632457,1,168,33,21,3551579
9,3,0.05,100000,12499,2000794,1,4200,3219150,23,3577295
0,3,0.1,1000000,166666,1272114,0,2112,2861767,23,3577295
